"","Compound","Sex","Conduct","Emotional","Extern","Hyperactivity","Intern","Peer","Prosocial","Total"
"1","BPA","female","0.113 [ -0.205 ; 0.473 ]   -","-0.067 [ -0.611 ; 0.43 ]   -","0.38 [ -0.364 ; 1.211 ]   -","0.244 [ -0.353 ; 0.924 ]   -","-0.058 [ -0.76 ; 0.589 ]   -","-0.001 [ -0.288 ; 0.286 ]   -","0.206 [ -0.143 ; 0.591 ]   -","0.175 [ -0.978 ; 1.416 ]   -"
"2","BPA","male","0.108 [ -0.235 ; 0.498 ]   -","0.08 [ -0.381 ; 0.58 ]   -","-0.032 [ -0.894 ; 0.765 ]   -","-0.179 [ -0.802 ; 0.413 ]   -","0.209 [ -0.515 ; 1.031 ]   -","0.14 [ -0.233 ; 0.565 ]   -","0.068 [ -0.365 ; 0.566 ]   -","0.195 [ -0.98 ; 1.67 ]   -"
"3","Phthalates","female","0.444 [ -0.115 ; 1.049 ]   -","0.074 [ -0.666 ; 0.888 ]   -","0.74 [ -0.701 ; 2.06 ]   -","-0.002 [ -1.147 ; 1.159 ]   -","-0.153 [ -1.178 ; 0.827 ]   -","-0.341 [ -0.801 ; 0.117 ]   -","-0.106 [ -0.778 ; 0.599 ]   -","0.221 [ -1.619 ; 2.337 ]   -"
"4","Phthalates","male","0.018 [ -0.53 ; 0.544 ]   -","-0.183 [ -0.871 ; 0.436 ]   -","0.105 [ -1.015 ; 1.403 ]   -","0.054 [ -0.717 ; 0.924 ]   -","-0.438 [ -1.548 ; 0.547 ]   -","-0.292 [ -0.903 ; 0.257 ]   -","0.048 [ -0.697 ; 0.85 ]   -","-0.048 [ -2.027 ; 1.757 ]   -"
"5","Substitutes","female","-0.457 [ -0.998 ; 0.069 ]   -","-0.165 [ -0.953 ; 0.501 ]   -","-0.965 [ -2.19 ; 0.33 ]   -","-0.342 [ -1.334 ; 0.595 ]   -","-0.23 [ -1.235 ; 0.605 ]   -","-0.046 [ -0.495 ; 0.356 ]   -","-0.087 [ -0.682 ; 0.494 ]   -","-0.673 [ -2.658 ; 0.92 ]   -"
"6","Substitutes","male","0.13 [ -0.397 ; 0.678 ]   -","0.238 [ -0.338 ; 0.917 ]   -","0.602 [ -0.597 ; 1.857 ]   -","0.365 [ -0.424 ; 1.259 ]   -","0.344 [ -0.593 ; 1.388 ]   -","0.098 [ -0.394 ; 0.639 ]   -","0.053 [ -0.683 ; 0.823 ]   -","0.92 [ -0.693 ; 2.908 ]   -"
