"","Compound","Sex","Conduct","Emotional","Extern","Hyperactivity","Intern","Peer","Prosocial","Total"
"1","BPA","female","-0.375 [ -0.816 ; 0.118 ]   -","-0.14 [ -0.805 ; 0.446 ]   -","-0.813 [ -1.875 ; 0.242 ]   -","-0.397 [ -1.308 ; 0.369 ]   -","-0.088 [ -0.9 ; 0.652 ]   -","0.029 [ -0.322 ; 0.388 ]   -","0.024 [ -0.455 ; 0.512 ]   -","-0.64 [ -2.312 ; 0.825 ]   -"
"2","BPA","male","0.218 [ -0.28 ; 0.697 ]   -","0.228 [ -0.287 ; 0.853 ]   -","0.59 [ -0.518 ; 1.765 ]   -","0.277 [ -0.466 ; 1.126 ]   -","0.212 [ -0.581 ; 1.174 ]   -","-0.007 [ -0.464 ; 0.449 ]   -","0.259 [ -0.446 ; 0.878 ]   -","0.785 [ -0.684 ; 2.599 ]   -"
"3","Phthalates","female","0.466 [ -0.13 ; 1.046 ]   -","0.066 [ -0.718 ; 0.897 ]   -","0.732 [ -0.842 ; 2.021 ]   -","0.087 [ -1.03 ; 1.208 ]   -","-0.158 [ -1.162 ; 0.744 ]   -","-0.311 [ -0.771 ; 0.175 ]   -","-0.126 [ -0.784 ; 0.61 ]   -","0.395 [ -1.47 ; 2.393 ]   -"
"4","Phthalates","male","0.042 [ -0.445 ; 0.561 ]   -","-0.167 [ -0.897 ; 0.43 ]   -","0.115 [ -1.015 ; 1.375 ]   -","0.046 [ -0.74 ; 0.932 ]   -","-0.438 [ -1.556 ; 0.564 ]   -","-0.288 [ -0.892 ; 0.252 ]   -","0.084 [ -0.676 ; 0.811 ]   -","-0.062 [ -1.969 ; 1.874 ]   -"
"5","Substitutes","female","0.01 [ -0.394 ; 0.466 ]   -","-0.097 [ -0.787 ; 0.511 ]   -","0.238 [ -0.726 ; 1.293 ]   -","0.211 [ -0.491 ; 1.084 ]   -","-0.228 [ -1.049 ; 0.49 ]   -","-0.104 [ -0.476 ; 0.219 ]   -","0.091 [ -0.42 ; 0.632 ]   -","-0.001 [ -1.474 ; 1.522 ]   -"
"6","Substitutes","male","0.02 [ -0.405 ; 0.462 ]   -","0.084 [ -0.415 ; 0.693 ]   -","-0.011 [ -1.005 ; 1.041 ]   -","-0.033 [ -0.817 ; 0.705 ]   -","0.34 [ -0.469 ; 1.281 ]   -","0.249 [ -0.198 ; 0.796 ]   -","-0.087 [ -0.732 ; 0.503 ]   -","0.341 [ -1.096 ; 2.065 ]   -"
