"","Compound","Conduct","Emotional","Extern","Hyperactivity","Intern","Peer","Prosocial","Total"
"1","BPA","0.126 [ -0.112 ; 0.379 ]   -","0 [ -0.317 ; 0.32 ]   -","0.15 [ -0.391 ; 0.772 ]   -","0.035 [ -0.402 ; 0.482 ]   -","0.008 [ -0.451 ; 0.473 ]   -","0.004 [ -0.245 ; 0.252 ]   -","0.306 [ -0.008 ; 0.627 ]   *","0.181 [ -0.63 ; 1.078 ]   -"
"2","Phthalates","0.094 [ -0.225 ; 0.483 ]   -","-0.031 [ -0.49 ; 0.42 ]   -","0.265 [ -0.604 ; 1.213 ]   -","0.09 [ -0.574 ; 0.842 ]   -","-0.172 [ -0.873 ; 0.452 ]   -","-0.201 [ -0.589 ; 0.172 ]   -","-0.145 [ -0.742 ; 0.676 ]   -","0.084 [ -1.182 ; 1.401 ]   -"
"3","Substitutes","-0.048 [ -0.462 ; 0.358 ]   -","0.05 [ -0.35 ; 0.491 ]   -","-0.149 [ -1.124 ; 0.686 ]   -","-0.08 [ -0.735 ; 0.527 ]   -","0.079 [ -0.472 ; 0.751 ]   -","0.037 [ -0.265 ; 0.373 ]   -","0 [ -0.663 ; 0.571 ]   -","0.068 [ -1.075 ; 1.275 ]   -"
