"","Compound","Conduct","Emotional","Extern","Hyperactivity","Intern","Peer","Prosocial","Total"
"1","BPA","0.022 [ -0.368 ; 0.363 ]   -","0.044 [ -0.33 ; 0.453 ]   -","-0.225 [ -1.039 ; 0.567 ]   -","-0.174 [ -0.747 ; 0.328 ]   -","0.042 [ -0.461 ; 0.627 ]   -","0.01 [ -0.269 ; 0.307 ]   -","0.23 [ -0.361 ; 0.601 ]   -","-0.023 [ -1.046 ; 0.971 ]   -"
"2","Phthalates","0.094 [ -0.219 ; 0.483 ]   -","-0.04 [ -0.5 ; 0.393 ]   -","0.301 [ -0.551 ; 1.254 ]   -","0.137 [ -0.572 ; 0.835 ]   -","-0.224 [ -0.955 ; 0.431 ]   -","-0.224 [ -0.586 ; 0.117 ]   -","-0.224 [ -0.756 ; 0.583 ]   -","0.119 [ -1.09 ; 1.458 ]   -"
"3","Substitutes","0.054 [ -0.233 ; 0.389 ]   -","0.026 [ -0.353 ; 0.438 ]   -","0.16 [ -0.507 ; 0.961 ]   -","0.082 [ -0.41 ; 0.66 ]   -","0.089 [ -0.477 ; 0.722 ]   -","0.044 [ -0.233 ; 0.359 ]   -","0.217 [ -0.324 ; 0.67 ]   -","0.236 [ -0.71 ; 1.403 ]   -"
